case_id,bug_type,original_bytes,original_statements,line-ddmin_status,line-ddmin_reduced_bytes,line-ddmin_cr,line-ddmin_reduced_statements,line-ddmin_stmt_cr,line-ddmin_invalid_rate,line-ddmin_tests,line-ddmin_time,statement-ddmin_status,statement-ddmin_reduced_bytes,statement-ddmin_cr,statement-ddmin_reduced_statements,statement-ddmin_stmt_cr,statement-ddmin_invalid_rate,statement-ddmin_tests,statement-ddmin_time,reducefix-sql_status,reducefix-sql_reduced_bytes,reducefix-sql_cr,reducefix-sql_reduced_statements,reducefix-sql_stmt_cr,reducefix-sql_invalid_rate,reducefix-sql_tests,reducefix-sql_time,reducefix-sql-cleanup_status,reducefix-sql-cleanup_reduced_bytes,reducefix-sql-cleanup_cr,reducefix-sql-cleanup_reduced_statements,reducefix-sql-cleanup_stmt_cr,reducefix-sql-cleanup_invalid_rate,reducefix-sql-cleanup_tests,reducefix-sql-cleanup_time,cleanup_minus_statement_cr,cleanup_minus_statement_stmt_cr,cleanup_minus_statement_tests,cleanup_minus_statement_invalid_rate
sqlancer_sqlite_1_collate_nocase_index_on_a_without_rowid_table_malfunctions,PQS,194,5,success,145,25.257731958762886,4,19.999999999999996,0.5,20,0.021266937255859375,success,145,25.257731958762886,4,19.999999999999996,0.5,20,0.02192401885986328,success,145,25.257731958762886,4,19.999999999999996,0.0,5,0.0071964263916015625,success,145,25.257731958762886,4,19.999999999999996,0.35294117647058826,17,0.017990827560424805,0.0,0.0,-3.0,-0.14705882352941174
sqlancer_sqlite_200_join_on_two_rtree_tables_malfunctions,NoREC,226,5,success,226,0.0,5,0.0,0.5,26,0.02948307991027832,success,226,0.0,5,0.0,0.5,26,0.030312299728393555,success,226,0.0,5,0.0,0.6153846153846154,13,0.014991283416748047,success,226,0.0,5,0.0,0.5384615384615384,39,0.04583454132080078,0.0,0.0,13.0,0.038461538461538436
sqlancer_sqlite_202_comparison_on_int_column_in_rtree_table_malfunctions,NoREC,123,3,success,123,0.0,3,0.0,0.5,12,0.01325225830078125,success,123,0.0,3,0.0,0.5,12,0.013524532318115234,success,123,0.0,3,0.0,0.5,4,0.004502296447753906,success,123,0.0,3,0.0,0.5,16,0.017872095108032227,0.0,0.0,4.0,0.0
sqlancer_sqlite_203_incorrect_result_for_predicate_on_rtree_table,NoREC,120,3,success,120,0.0,3,0.0,0.5,12,0.012979507446289062,success,120,0.0,3,0.0,0.5,12,0.013146638870239258,success,120,0.0,3,0.0,0.5,4,0.004282712936401367,success,120,0.0,3,0.0,0.5,16,0.017234325408935547,0.0,0.0,4.0,0.0
sqlancer_sqlite_206_generated_column_and_foreign_key_causes_a_segfault,crash,697,12,success,364,47.77618364418939,4,66.66666666666667,0.19230769230769232,26,0.027834177017211914,success,364,47.77618364418939,4,66.66666666666667,0.19230769230769232,26,0.028886795043945312,success,413,40.74605451936873,5,58.33333333333333,0.3181818181818182,22,0.025231361389160156,success,364,47.77618364418939,4,66.66666666666667,0.21621621621621623,37,0.041227102279663086,0.0,0.0,11.0,0.02390852390852391
sqlancer_sqlite_208_pragma_integrity_check_does_not_terminate_on_table_with_generate,hang,119,3,success,24,79.83193277310924,1,66.66666666666667,0.3333333333333333,3,0.0033059120178222656,success,24,79.83193277310924,1,66.66666666666667,0.3333333333333333,3,0.0032303333282470703,success,24,79.83193277310924,1,66.66666666666667,0.0,1,0.0010776519775390625,success,24,79.83193277310924,1,66.66666666666667,0.0,1,0.0011441707611083984,0.0,0.0,-2.0,-0.3333333333333333
sqlancer_sqlite_210_reindex_results_in_unique_constraint_failed_for_generated_column,error,104,3,success,95,8.653846153846157,2,33.333333333333336,0.42857142857142855,7,0.00751185417175293,success,95,8.653846153846157,2,33.333333333333336,0.42857142857142855,7,0.00743556022644043,success,104,0.0,3,0.0,0.2222222222222222,9,0.009673833847045898,success,95,8.653846153846157,2,33.333333333333336,0.3125,16,0.01652240753173828,0.0,0.0,9.0,-0.11607142857142855
sqlancer_sqlite_213_left_join_malfunctions_with_generated_column,NoREC,121,4,success,121,0.0,4,0.0,0.5,12,0.012825489044189453,success,121,0.0,4,0.0,0.5,12,0.012945413589477539,success,121,0.0,4,0.0,0.0,0,8.96453857421875e-05,success,121,0.0,4,0.0,0.5,12,0.012355327606201172,0.0,0.0,0.0,0.0
sqlancer_sqlite_214_update_causes_database_table_is_locked_for_rtree_table,error,123,3,success,123,0.0,3,0.0,0.5,12,0.013287544250488281,success,123,0.0,3,0.0,0.5,12,0.013582706451416016,success,123,0.0,3,0.0,0.25,8,0.00916290283203125,success,123,0.0,3,0.0,0.4,20,0.022191524505615234,0.0,0.0,8.0,-0.09999999999999998
sqlancer_sqlite_215_filter_clause_in_window_function_causes_a_segfault,crash,157,4,success,157,0.0,4,0.0,0.5,12,0.012688636779785156,success,157,0.0,4,0.0,0.5,12,0.012981414794921875,success,157,0.0,4,0.0,0.6,5,0.00576472282409668,success,157,0.0,4,0.0,0.5294117647058824,17,0.01828289031982422,0.0,0.0,5.0,0.02941176470588236
